date,province,metric,value
2015-05,Manitoba,Participation rate,68.8
2015-05,Manitoba,Employment rate,64.9
2015-05,Saskatchewan,Unemployment rate,5.0
2015-05,Saskatchewan,Participation rate,70.1
2015-05,Saskatchewan,Employment rate,66.6
2015-05,Alberta,Unemployment rate,6.3
2015-05,Alberta,Participation rate,73.7
2015-05,Alberta,Employment rate,69.1
2015-05,British Columbia,Unemployment rate,6.0
2015-05,British Columbia,Participation rate,63.7
2015-05,British Columbia,Employment rate,59.9
2015-06,Newfoundland and Labrador,Unemployment rate,12.5
2015-06,Newfoundland and Labrador,Participation rate,62.1
2015-06,Newfoundland and Labrador,Employment rate,54.3
2015-06,Prince Edward Island,Unemployment rate,11.3
2015-06,Prince Edward Island,Participation rate,68.3
2015-06,Prince Edward Island,Employment rate,60.6
2015-06,Nova Scotia,Unemployment rate,8.5
2015-06,Nova Scotia,Participation rate,62.1
2015-06,Nova Scotia,Employment rate,56.8
2015-06,New Brunswick,Unemployment rate,11.2
2015-06,New Brunswick,Participation rate,62.9
2015-06,New Brunswick,Employment rate,55.9
2015-06,Quebec,Unemployment rate,8.1
2015-06,Quebec,Participation rate,64.7
2015-06,Quebec,Employment rate,59.5
2015-06,Ontario,Unemployment rate,6.6
2015-06,Ontario,Participation rate,65.3
2015-06,Ontario,Employment rate,61.0
2015-06,Manitoba,Unemployment rate,5.2
2015-06,Manitoba,Participation rate,68.6
2015-06,Manitoba,Employment rate,65.0
2015-06,Saskatchewan,Unemployment rate,4.8
2015-06,Saskatchewan,Participation rate,69.9
2015-06,Saskatchewan,Employment rate,66.5
2015-06,Alberta,Unemployment rate,6.2
2015-06,Alberta,Participation rate,73.4
2015-06,Alberta,Employment rate,68.8
2015-06,British Columbia,Unemployment rate,5.9
2015-06,British Columbia,Participation rate,63.9
2015-06,British Columbia,Employment rate,60.1
2015-07,Newfoundland and Labrador,Unemployment rate,12.1
2015-07,Newfoundland and Labrador,Participation rate,61.7
2015-07,Newfoundland and Labrador,Employment rate,54.2
2015-07,Prince Edward Island,Unemployment rate,11.5
2015-07,Prince Edward Island,Participation rate,67.9
2015-07,Prince Edward Island,Employment rate,60.1
2015-07,Nova Scotia,Unemployment rate,8.3
2015-07,Nova Scotia,Participation rate,62.6
2015-07,Nova Scotia,Employment rate,57.4
2015-07,New Brunswick,Unemployment rate,11.4
2015-07,New Brunswick,Participation rate,63.0
2015-07,New Brunswick,Employment rate,55.8
2015-07,Quebec,Unemployment rate,7.7
2015-07,Quebec,Participation rate,65.0
2015-07,Quebec,Employment rate,60.0
2015-07,Ontario,Unemployment rate,6.8
2015-07,Ontario,Participation rate,65.4
2015-07,Ontario,Employment rate,60.9
2015-07,Manitoba,Unemployment rate,5.8
2015-07,Manitoba,Participation rate,68.3
2015-07,Manitoba,Employment rate,64.4
2015-07,Saskatchewan,Unemployment rate,5.5
2015-07,Saskatchewan,Participation rate,69.5
2015-07,Saskatchewan,Employment rate,65.7
2015-07,Alberta,Unemployment rate,5.9
2015-07,Alberta,Participation rate,73.4
2015-07,Alberta,Employment rate,69.0
2015-07,British Columbia,Unemployment rate,6.3
2015-07,British Columbia,Participation rate,63.8
2015-07,British Columbia,Employment rate,59.8
2015-08,Newfoundland and Labrador,Unemployment rate,12.3
2015-08,Newfoundland and Labrador,Participation rate,61.9
2015-08,Newfoundland and Labrador,Employment rate,54.3
2015-08,Prince Edward Island,Unemployment rate,11.3
2015-08,Prince Edward Island,Participation rate,67.5
2015-08,Prince Edward Island,Employment rate,59.9
2015-08,Nova Scotia,Unemployment rate,8.3
2015-08,Nova Scotia,Participation rate,62.1
2015-08,Nova Scotia,Employment rate,57.0
2015-08,New Brunswick,Unemployment rate,10.4
2015-08,New Brunswick,Participation rate,62.8
2015-08,New Brunswick,Employment rate,56.3
2015-08,Quebec,Unemployment rate,7.9
2015-08,Quebec,Participation rate,65.1
2015-08,Quebec,Employment rate,59.9
2015-08,Ontario,Unemployment rate,6.9
2015-08,Ontario,Participation rate,65.5
2015-08,Ontario,Employment rate,61.0
2015-08,Manitoba,Unemployment rate,6.0
2015-08,Manitoba,Participation rate,68.7
